"  黃金谷
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 年,12 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 122,"豆腐塔
Tofu Tower",5.10a,傳攀 | Trad,7 m,,,與 <前奏> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 123.1,"華西街 | P1
Snake Alley | P1",5.10b,傳攀 | Trad,18 m,"Dirk Saenger
—
Edgar Boehm",2002 / 05,原為運攀路線，於2013更新Anchor並切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,Ti-TW,Ti-TW,,,,2,已更新,2018 / 03 / 24 (週六),"304-AA x9 | 10年以上 (德國岩友設置，曾發生過斷裂事件)
2018/03/24 - 老舊Bolt已全數移除 (阿郎等人)
Anchor 更新為 Ti-TW (阿郎等人)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 / 03 / 24,2018 / 03 / 24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 年,7 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 123.2,"華西街 | P2
Snake Alley | P2",5.10a,傳攀 | Trad,30 m,"Dirk Saenger
—
Edgar Boehm",2002 / 05,原為運攀路線，於2013更新Anchor並切除老舊Bolt後，正式改為傳攀路線,●●●,,,,,,,,,,,,,,,,,,,Ti-TW,Ti-TW,,,,2,已更新,2018 / 03 / 24 (週六),"304-AA x10 | 10年以上 (德國岩友設置，曾發生過斷裂事件)
2018/03/24 - 老舊Bolt已全數移除 (阿郎等人)
Anchor 更新為 Ti-TW (阿郎等人)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 / 03 / 24,2018 / 03 / 24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 年,7 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 124,"橘子之旅
Tangerine Trip",5.11a,運攀 | Sport,18 m,,,,●●●,316-TW,316-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,10,已拉測,2022 / 06 / 04 (週六),"[Pulltest]20220604 全線測試,bolt已清點(小虎 Nancy)
2013/08/24 - 由章醫師等人更新B01-B03、A01/A02
2017/01/07 - 部分Bolt更新為Ti-TW (阿郎、芳源、景儒、小傑)
2017/01/19 - 切除舊304-AA (阿郎)
2019/10/10 - 更新為Ti-TW (阿郎、阿寶)
–
2019/07/14 - B03 拉測失敗 - 黏膠未混合均勻，2019/07/15公告暫時封閉 (小魏、曉嵐、Sam、家祝)
2019/07/19 - Anchor 合格 - 8 kN / 1 min / ×5次 (小虎、阿明)
2019/10/10 - 由阿郎阿寶等更新B03"
,,,,,,,,,,2013 / 08 / 24,2013 / 08 / 24,2019 / 10 / 10,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,,,,,,,,,,,2013 / 08 / 24,2013 / 08 / 24,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,12 年,12 年,6 年,8 年,8 年,8 年,8 年,8 年,,,,,,,,,,,12 年,12 年,,2021 / 02,2021 / 02,,,,
,,,,,,,,,,2022 / 06 / 04,2022 / 06 / 04,,,,,,,,,,,,,,,,,2022 / 06 / 04,2022 / 06 / 04,,,,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,2019 / 07 / 19,2019 / 07 / 19,,4 年,4 年,,,,
