"  音樂廳
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 346,"岩角我來了
Comeback Arête",5.11c,運攀 | Sport,,,,路線上有⽼舊Bolt，請勿使⽤；原為傳攀路線，2012更新為運攀路線,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,7,已拉測,2020 / 11 / 01 (週日),"[Pulltest]20201101全線測試,bolt已清點(小虎 Jam 阿振)
2012/07/04 - Lead Bolt 更新 (章醫師、文苑、一樵)
Anchor 安裝日期待查 (預設為1月1日)
–
B01 合格 - 8kN / 1 min / ×5次 (小虎、Maurice、阿振)"
,,,,,,,,,,2012 / 07 / 04,2012 / 07 / 04,2012 / 07 / 04,2012 / 07 / 04,2012 / 07 / 04,,,,,,,,,,,,,,2011,2011,,數量 x1 ,數量 x1 ,,,,
,,,,,,,,,,13 年,13 年,13 年,13 年,13 年,,,,,,,,,,,,,,14 年,14 年,,2020 / 10,2020 / 10,,,,
,,,,,,,,,,2020 / 11 / 01,2020 / 11 / 01,2020 / 11 / 01,2020 / 11 / 01,2020 / 11 / 01,,,,,,,,,,,,,,2020 / 11 / 01,2020 / 11 / 01,,5 年,5 年,,,,
,,,,,,,,,,2019 / 03 / 28,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 347,"我來了
Come Back",5.10a,傳攀 | Trad,,"禤志剛
Laurence Huen",,"路線上有⽼舊Bolt，請勿使⽤
–
與 <岩角我來了> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 348,"狗腿
Henchman",5.10c,運攀 | Sport,,,,"原為上方架繩路線，2012更新為運攀路線
–
與 <岩角我來了> 共用 Anchor",●●●,316-TW,316-TW,共用,共用,共用,,,,,,,,,,,,,,共用,共用,,,,2,已拉測,2019 / 03 / 28 (週四),"2012/07/04 - Lead Bolt 更新 (章醫師、文苑、一樵)
–
B01 合格 - 8kN / 1 min / ×5次 (小虎、Maurice、阿振)"
,,,,,,,,,,2012 / 07 / 04,2012 / 07 / 04,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,13 年,13 年,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2019 / 03 / 28,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 349,"水煙袋
Hubble",5.12c,傳攀 | Trad,15 m,"朴來慶 (上方架繩)
Yum Yum (FTRA)",,Anchor左側Bolt曾發⽣黏著膠混合問題，雖已解決但仍需注意,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,待拉測,,"2012/07/04 - 更新為316-TW (章醫師、金龍)
2014/07/20 - A01 (左側Bolt) 脫出
2014/08/07 - A01 更新為 Ti-TW (張醫師等人)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 350,"勉勉強強
Reluctant",5.11a,運攀 | Sport,15 m,,,"路線上有⽼舊Bolt，請勿使⽤；原為傳攀路線，2012更新為運攀路線
–
與 <水煙袋> 共用 Anchor",●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,Ti-ETN,316-TW,,A01不裝鋼環,,9,已拉測,2020 / 11 / 25 (週三),"[Pulltest]20201125全線測試,bolt已清點(Michael 阿振)
[已完成] 2014/08/07 由芳源等人更新A01
所有 Bolt 安裝日期均待查 (預設為1月1日)
–
B01 合格 - 8kN / 1 min / ×5次 (小虎、Maurice、阿振)"
,,,,,,,,,,2012 / 07 / 04,2012 / 07 / 04,2012 / 07 / 04,2012 / 07 / 04,2012 / 07 / 04,2012 / 07 / 04,2012 / 07 / 04,,,,,,,,,,,,2014 / 08 / 07,2012 / 07 / 04,,,,,,,
,,,,,,,,,,13 年,13 年,13 年,13 年,13 年,13 年,13 年,,,,,,,,,,,,11 年,13 年,,,,,,,
,,,,,,,,,,,2020 / 11 / 25,2020 / 11 / 25,2020 / 11 / 25,2020 / 11 / 25,2020 / 11 / 25,2020 / 11 / 25,,,,,,,,,,,,2020 / 11 / 25,2020 / 11 / 25,,,,,,,
,,,,,,,,,,2019 / 03 / 28,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 351,"不要勉強
Don't Be Reluctant",5.10d,傳攀 | Trad,15 m,,,"路線上有⽼舊Bolt，請勿使⽤
–
與 <水煙袋> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 352,"馬爾莫拉達
Marmolada",5.9,傳攀 | Trad,15 m,,,"路線上有⽼舊Bolt，請勿使⽤；2019/05/12通報：路線上方落石風險高，建議勿攀登
–
與 <水煙袋> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 352.1,"馬爾莫拉達右側懸岩
Marmolada Overhang",5.10a,傳攀 | Trad,15 m,,,"2019/05/12通報：路線上方落石風險高，建議勿攀登
–
與 <水煙袋> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 353,"白色岩角
White Arête",5.9,傳攀 | Trad,12 m,,,與 <倒拉夾⼿> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 354,"臨海茶室
Seaside Tea",5.9,傳攀 | Trad,12 m,,,"路線上有⽼舊Bolt，請勿使⽤
–
與 <倒拉夾⼿> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 355,"慢板
Lento",5.9,傳攀 | Trad,12 m,,,"路線上有⽼舊Bolt，請勿使⽤
–
與 <倒拉夾⼿> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 356,"倒拉夾手
Undercling Jam",5.11a,運攀 | Sport,12 m,,,《RCT》P.183路線圖路線走向繪製錯誤,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,8,已拉測,2021 / 11 / 14 (週日),"所有 Bolt 安裝日期均待查
2018/10/27 - 更新梅隆鎖
–
[Pulltest] 2019/03/28 - B01 合格 - 8kN / 1 min / ×5次 (小虎、Maurice、阿振)
[Pulltest] 2021/11/14 - 全線合格 - 8 kN / 1 min / ×5次 (Maurice、阿耿、宸安、ZY)"
,,,,,,,,,,2011 / 03,2011 / 03,2011 / 03,2011 / 03,2011 / 03,2011 / 03,,,,,,,,,,,,,2011 / 03,2011 / 03,,數量 x1 ,數量 x1 ,,,,
,,,,,,,,,,14 年,14 年,14 年,14 年,14 年,14 年,,,,,,,,,,,,,14 年,14 年,,2021 / 02,2021 / 02,,,,
,,,,,,,,,,2019 / 03 / 28,,,,,,,,,,,,,,,,,,,,,4 年,4 年,,,,
,,,,,,,,,,2021 / 11 / 14,2021 / 11 / 14,2021 / 11 / 14,2021 / 11 / 14,2021 / 11 / 14,2021 / 11 / 14,,,,,,,,,,,,,2021 / 11 / 14,2021 / 11 / 14,,,,,,,
,# 357,"金字塔
Pyramid",5.8,傳攀 | Trad,12 m,,,與 <倒拉夾⼿> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 357.1,"未收錄路線
Unlisted Route",5.9,傳攀 | Trad,,,,自 <倒拉夾⼿> 起攀，往左上攀至平台後架設確保站；繩隊完攀後再往右橫渡到 <結婚路線> 平台垂降。,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,相關連結
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"正面
Main Face",# 358,"音樂廳煙囪
Musical Chimney",5.6,傳攀 | Trad,12 m,,,,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,2,已拉測,2021 / 11 / 20 (週六),"Anchor 安裝日期待查 (預設為1月1日)
–
2019/06/22 - A01 合格 - 8kN / 1 min / ×5次 (泰山、老爹、Jamy、Ivy)
[Pulltest]20211120全線測試,bolt已清點(小虎、Nancy、天健)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011,,數量 x1 ,數量 x1 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,2021 / 02,2021 / 02,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 / 06 / 22,2019 / 06 / 22,,4 年,4 年,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 / 11 / 20,2021 / 11 / 20,,,,,,,
,# 358.1,"小鯨魚頭左側
Little Whale's Head Left
(未收錄 / Unlisted)",5.10b,傳攀 | Trad,,,,自 <音樂廳煙囪> Anchor 起攀，往小鯨魚頭左側上攀至平台後架設確保站；繩隊完攀後再往右橫渡到 <結婚路線> 平台垂降。,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,相關連結
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
