"  第二洞
  Second Cave",86,支 Bolt,51,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,Anchor配件,,Bolt統計,路線狀態,日期,備註
,# 207,"石器時代
Stone Age",5.10b,傳攀 | Trad,12 m,"吳招坤
Jau-Kuen Wu",1998 / 10 / 31,與 <裂嘴一笑> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 208,"裂隙也瘋狂1
Manic Crack I",5.11b,傳攀 | Trad,12 m,"朴來慶
Yum Yum",1998 / 10 / 31,與 <裂嘴一笑> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 209,"變臉
Face Off",5.10c,傳攀 | Trad,12 m,"朴來慶
Yum Yum",1998 / 10 / 31,與 <裂嘴一笑> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 210,"裂隙也瘋狂2
Manic Crack II",5.12a,傳攀 | Trad,12 m,"朴來慶
Yum Yum",1998 / 10 / 31,與 <裂嘴一笑> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 211,"左拱門
Left Arch",5.12a,運攀 | Sport,20 m,"張登榮
Deng-Jung Chang",2005 / 03 / 27,,●●●,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,,,,,,,Ti-U,Ti-U,,羊角-Ti,羊角-Ti,14,已更新,2016,[rebolt]2016 所有 Bolt 安裝日期均待查 (預設為1月1日) QX
,,,,,,,,,,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,,,,,,,2016,2016,,2016 / 01 / 01,2016 / 01 / 01,,,,
,,,,,,,,,,9 年,9 年,9 年,9 年,9 年,9 年,9 年,9 年,9 年,9 年,9 年,9 年,,,,,,,9 年,9 年,,9 年,9 年,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 212,"有一腿
Have a Leg",5.12d,運攀 | Sport,21 m,"周俊明
Jun-Min Jou",2005 / 03 / 27,,●●●,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-TW,Ti-ETN,Ti-ETN,,,,,,,,Ti-U,Ti-U,,羊角-Ti,羊角-Ti,13,已更新,2020 / 10 / 01 (週四),"[rebolt]20201001U鈦加羊角一組Anchor, B09加台鈦x1
[rebolt]2017 所有 Bolt 安裝日期均待查 (預設為1月1日) QX"
,,,,,,,,,,2017,2017,2017,2017,2017,2017,2017,2017,2020 / 10 / 01,2017,2017,,,,,,,,2020 / 10 / 01,2020 / 10 / 01,,2020 / 10 / 01,2020 / 10 / 01,,,,
,,,,,,,,,,8 年,8 年,8 年,8 年,8 年,8 年,8 年,8 年,5 年,8 年,8 年,,,,,,,,5 年,5 年,,5 年,5 年,,,,
