"  校門口
,# 536,"明明點很小
Obviously Tiny",5.12d,運攀 | Sport,7 m,"張登榮
Deng-Jung Chang",2000,據傳更早前曾有人以傳攀先鋒 ,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,,,316-TW,316-TW,梅隆鎖-316,垂降環-316,7,已拉測,2020 / 03 / 22 (週日),"Bolt安裝日期待查 (預設為1月1日)
–
2018/10/27 B01 合格 - 8 kN / 1 min / ×5次 (老爹、小嵐、小魏)
2020/03/22 全線合格 - 8 kN / 1 min / ×5次 (家祝、小虎)"
,,,,,,,,,,2006,2006,2006,2006,2006,,,,,,,,,,,,,,2006,2006,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,19 年,19 年,19 年,19 年,19 年,,,,,,,,,,,,,,19 年,19 年,2020 / 12 / 01,2020 / 12 / 01,,,,
,,,,,,,,,,2018 / 10 / 27,,,,,,,,,,,,,,,,,,,,5 年,5 年,,,,
,,,,,,,,,,2020 / 03 / 22,2020 / 03 / 22,2020 / 03 / 22,2020 / 03 / 22,2020 / 03 / 22,,,,,,,,,,,,,,2020 / 03 / 22,2020 / 03 / 22,,,,,,
,# 537,"黑色角落
Black Corner",5.5,傳攀 | Trad,7 m,,,與 <明明點很⼩> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 538,"熱身路線
Warm-up Route",5.10c,運攀 | Sport,8 m,"張登榮
Deng-Jung Chang",2006,,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,,,316-TW,316-TW,梅隆鎖-316,垂降環-316,7,已拉測,2025 / 09 / 13 (週六),"Bolt安裝日期待查 (預設為1月1日)
–
2018/10/27 B01 合格 - 8 kN / 1 min / ×5次 (老爹、小嵐、小魏)
2020/03/22 全線合格 - 8 kN / 1 min / ×5次 (家祝、小虎)
2025/09/13 全線合格 - 8 kN / 1 min / ×5次 (Michael、Eva)"
,,,,,,,,,,2006,2006,2006,2006,2006,,,,,,,,,,,,,,2006,2006,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,19 年,19 年,19 年,19 年,19 年,,,,,,,,,,,,,,19 年,19 年,2020 / 03 / 01,2020 / 03 / 01,,,,
,,,,,,,,,,2018 / 10 / 27,,,,,,,,,,,,,,,,,,,,5 年,5 年,,,,
,,,,,,,,,,2020 / 03 / 22,2020 / 03 / 22,2020 / 03 / 22,2020 / 03 / 22,2020 / 03 / 22,,,,,,,,,,,,,,2020 / 03 / 22,2020 / 03 / 22,,,,,,
,,,,,,,,,,2025 / 09 / 13,2025 / 09 / 13,2025 / 09 / 13,2025 / 09 / 13,2025 / 09 / 13,,,,,,,,,,,,,,2025 / 09 / 13,2025 / 09 / 13,,,,,,
"校門口
School Gate
Crag",# 539,"雙裂隙
Twin Cracks",5.8,傳攀 | Trad,,,,沒有 Anchor,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 540,"出頭
Emerging",5.10a,傳攀 | Trad,,,,"《RCT》書中路線圖繪製錯誤，應為更左側的內角與懸岩
需自行架設確保站，再以 <阿彌陀佛> 的 Anchor 垂降",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
